season,season_type,game_id,week,game_date,team,opponent_team,qb_id,qb_name,wr_id,wr_name,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,00-0027902,D.Bryant,1,0,0.0,0,-0.229776511201635,-0.229776511201635,0,0.0,7.0,0.0,7.0,0.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,00-0030663,W.Snead,2,2,9.0,0,-0.47663770907092795,-0.23831885453546398,1,0.5,7.0,2.0,3.5,1.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,00-0033376,P.Ricard,4,3,26.0,0,1.888384104007856,0.472096026001964,3,0.75,5.0,21.0,1.25,7.0,2.0,0,1,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,00-0034753,M.Andrews,6,4,41.0,0,1.0754941194900316,0.17924901991500528,2,0.3333333333333333,49.0,13.0,8.166666666666666,3.25,2.0,0,1,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,00-0035662,M.Brown,9,7,109.0,0,6.996453282886357,0.7773836980984841,7,0.7777777777777778,127.0,37.0,14.11111111111111,5.285714285714286,4.0,2,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,00-0035703,M.Boykin,1,0,0.0,0,-3.13183206599206,-3.13183206599206,0,0.0,36.0,0.0,36.0,0.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,BAL,TEN,00-0034796,L.Jackson,00-0036158,J.Dobbins,1,1,-6.0,0,-0.813038311374839,-0.813038311374839,0,0.0,-6.0,0.0,-6.0,0.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0029701,R.Tannehill,1,1,-10.0,0,-1.11917399044614,-1.11917399044614,0,0.0,-10.0,0.0,-10.0,0.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0032141,G.Swaim,1,1,5.0,0,0.0059380107559263,0.0059380107559263,1,1.0,5.0,0.0,5.0,0.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0032464,K.Raymond,1,0,0.0,0,-2.70376658870373,-2.70376658870373,0,0.0,23.0,0.0,23.0,0.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0032764,D.Henry,3,3,11.0,0,-0.975723894184992,-0.32524129806166396,2,0.6666666666666666,3.0,8.0,1.0,2.6666666666666665,0.0,0,1,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0033455,A.Firkser,2,2,44.0,0,3.8602584861219,1.93012924306095,2,1.0,9.0,35.0,4.5,17.5,2.0,1,1,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0033858,J.Smith,3,2,9.0,0,-1.91588749107905,-0.6386291636930167,0,0.0,8.0,2.0,2.6666666666666665,1.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0033871,C.Davis,2,0,0.0,0,-3.24862996457155,-1.624314982285775,0,0.0,12.0,0.0,6.0,0.0,0.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0034652,C.Batson,1,1,6.0,0,1.40626233327203,1.40626233327203,1,1.0,4.0,2.0,4.0,2.0,1.0,0,0,0
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0035676,A.Brown,10,6,83.0,1,5.707264378026597,0.5707264378026597,5,0.5,119.0,21.0,11.9,3.5,5.0,1,2,1
2020,POST,2020_18_BAL_TEN,18,2021-01-10,TEN,BAL,00-0029701,R.Tannehill,00-0036182,N.Westbrook-Ikhine,2,2,17.0,0,0.654938957071863,0.3274694785359315,1,0.5,15.0,2.0,7.5,1.0,1.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0027696,J.Graham,2,2,25.0,1,4.0147492753458245,2.0073746376729122,1,0.5,21.0,4.0,10.5,2.0,1.0,0,1,1
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0031428,A.Robinson,7,6,55.0,0,2.5652075358666524,0.3664582194095218,4,0.5714285714285714,53.0,13.0,7.571428571428571,2.1666666666666665,2.0,1,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0031763,D.Carter,4,3,17.0,0,-2.2247434955788847,-0.5561858738947212,2,0.5,24.0,5.0,6.0,1.6666666666666667,1.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0034353,A.Miller,3,2,22.0,0,-1.015258593717593,-0.3384195312391977,1,0.3333333333333333,29.0,1.0,9.666666666666666,0.5,1.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0034426,J.Wims,4,1,28.0,0,-1.071921626571568,-0.267980406642892,1,0.25,114.0,2.0,28.5,2.0,1.0,1,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0035590,R.Ridley,2,2,36.0,0,2.39655049348948,1.19827524674474,2,1.0,18.0,18.0,9.0,9.0,2.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0035685,D.Montgomery,1,0,0.0,0,-1.32977557415143,-1.32977557415143,0,0.0,4.0,0.0,4.0,0.0,0.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,CHI,NO,00-0033869,M.Trubisky,00-0036290,C.Kmet,4,3,16.0,0,-2.4041743400739533,-0.6010435850184883,1,0.25,1.0,15.0,0.25,5.0,0.0,0,1,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0027061,J.Cook,7,4,40.0,0,-0.9876411732984709,-0.14109159618549585,3,0.42857142857142855,64.0,13.0,9.142857142857142,3.25,2.0,0,1,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0027685,E.Sanders,3,2,3.0,0,-0.11106747371377401,-0.03702249123792467,1,0.3333333333333333,15.0,4.0,5.0,2.0,1.0,0,1,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0030513,L.Murray,2,2,11.0,1,1.490189486416061,0.7450947432080305,1,0.5,-11.0,22.0,-5.5,11.0,1.0,0,1,1
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0031595,M.Burton,2,2,15.0,0,0.8370882705785341,0.41854413528926704,2,1.0,4.0,11.0,2.0,5.5,0.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0032765,M.Thomas,7,5,73.0,1,5.116252588341017,0.7308932269058596,4,0.5714285714285714,70.0,25.0,10.0,5.0,3.0,1,1,1
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0033357,T.Hill,2,2,5.0,0,-0.9312040391378104,-0.4656020195689052,0,0.0,1.0,4.0,0.5,2.0,0.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0033906,A.Kamara,2,2,17.0,0,2.33586433099117,1.167932165495585,2,1.0,9.0,8.0,4.5,4.0,1.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0035215,D.Harris,7,7,83.0,0,9.30800945899682,1.3297156369995455,6,0.8571428571428571,24.0,59.0,3.4285714285714284,8.428571428571429,5.0,1,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0035406,L.Humphrey,1,1,14.0,0,2.78476190753281,2.78476190753281,1,1.0,3.0,11.0,3.0,11.0,1.0,0,0,0
2020,POST,2020_18_CHI_NO,18,2021-01-10,NO,CHI,00-0020531,D.Brees,00-0036422,A.Trautman,3,1,4.0,0,-1.591460781753994,-0.5304869272513314,0,0.0,6.0,3.0,2.0,3.0,0.0,0,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,00-0031382,J.Landry,8,5,92.0,1,6.870257015572862,0.8587821269466077,4,0.5,40.0,66.0,5.0,13.2,4.0,1,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,00-0032392,A.Hooper,11,7,46.0,1,1.8149695274668094,0.16499722976970996,6,0.5454545454545454,93.0,4.0,8.454545454545455,0.5714285714285714,3.0,0,4,1
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,00-0032977,R.Higgins,7,2,28.0,0,-1.0266760030063007,-0.14666800042947153,2,0.2857142857142857,86.0,6.0,12.285714285714286,3.0,2.0,0,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,00-0033885,D.Njoku,1,1,7.0,0,0.0986697716871276,0.0986697716871276,1,1.0,3.0,4.0,3.0,4.0,0.0,0,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,00-0033923,K.Hunt,1,1,13.0,0,1.30988696636632,1.30988696636632,1,1.0,-6.0,19.0,-6.0,19.0,1.0,0,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,00-0034791,N.Chubb,4,4,69.0,1,5.933738429564981,1.4834346073912452,3,0.75,-1.0,70.0,-0.25,17.5,2.0,2,1,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,CLE,PIT,00-0034855,B.Mayfield,00-0036233,D.Peoples-Jones,2,1,8.0,0,-0.7044583214446881,-0.35222916072234406,1,0.5,16.0,1.0,8.0,1.0,0.0,0,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0030470,V.McDonald,2,0,0.0,0,-5.122314848995301,-2.5611574244976505,0,0.0,4.0,0.0,2.0,0.0,0.0,0,1,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0031387,E.Ebron,11,7,62.0,1,-0.3903320249228335,-0.035484729538439404,7,0.6363636363636364,49.0,36.0,4.454545454545454,5.142857142857143,5.0,0,3,1
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0033553,J.Conner,7,5,30.0,0,2.855366223404645,0.4079094604863779,5,0.7142857142857143,-9.0,39.0,-1.2857142857142858,7.8,2.0,0,2,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0033857,J.Smith-Schuster,20,13,157.0,1,8.51402240899926,0.425701120449963,9,0.45,193.0,41.0,9.65,3.1538461538461537,7.0,3,4,1
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0034676,J.Washington,6,5,72.0,0,2.7447486408927917,0.4574581068154653,4,0.6666666666666666,73.0,22.0,12.166666666666666,4.4,4.0,1,1,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0035216,Di.Johnson,16,11,117.0,0,-0.2412823962804368,-0.0150801497675273,9,0.5625,183.0,28.0,11.4375,2.5454545454545454,8.0,0,2,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0035217,B.Snell,2,1,4.0,0,-6.046141547383744,-3.023070773691872,0,0.0,1.0,4.0,0.5,4.0,0.0,0,0,0
2020,POST,2020_18_CLE_PIT,18,2021-01-10,PIT,CLE,00-0022924,B.Roethlisberger,00-0036326,C.Claypool,7,5,59.0,2,4.773106623321303,0.6818723747601861,4,0.5714285714285714,71.0,13.0,10.142857142857142,2.6,3.0,1,3,1
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,00-0029000,C.Beasley,7,7,57.0,0,2.745203611091706,0.3921719444416723,4,0.5714285714285714,43.0,14.0,6.142857142857143,2.0,3.0,0,0,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,00-0031051,J.Brown,4,0,0.0,0,-4.304220696582135,-1.0760551741455338,0,0.0,68.0,0.0,17.0,0.0,0.0,0,0,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,00-0031588,S.Diggs,9,6,128.0,1,8.923261294839904,0.9914734772044338,6,0.6666666666666666,149.0,20.0,16.555555555555557,3.3333333333333335,6.0,3,0,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,00-0035250,D.Singletary,3,3,23.0,0,-0.8459760458790699,-0.2819920152930233,1,0.3333333333333333,12.0,11.0,4.0,3.6666666666666665,0.0,0,0,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,00-0035689,D.Knox,3,2,5.0,1,-0.096253579598855,-0.032084526532951664,1,0.3333333333333333,3.0,2.0,1.0,1.0,1.0,0,1,1
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,00-0036196,G.Davis,4,4,85.0,0,4.948430129210464,1.237107532302616,4,1.0,85.0,0.0,21.25,0.0,4.0,1,0,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,BUF,IND,00-0034857,J.Allen,00-0036251,Z.Moss,4,4,26.0,0,2.056518980010882,0.5141297450027205,3,0.75,8.0,18.0,2.0,4.5,2.0,0,1,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0029608,T.Hilton,5,2,32.0,0,-0.18306634214241474,-0.03661326842848295,2,0.4,81.0,9.0,16.2,4.5,1.0,1,0,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0030181,J.Doyle,10,7,70.0,1,5.5949051170465465,0.5594905117046547,6,0.6,71.0,10.0,7.1,1.4285714285714286,4.0,1,2,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0030710,T.Burton,3,3,34.0,0,4.288265421491815,1.4294218071639382,2,0.6666666666666666,29.0,5.0,9.666666666666666,1.6666666666666667,2.0,0,1,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0033217,M.Alie-Cox,4,4,32.0,0,3.152781474520454,0.7881953686301135,2,0.5,24.0,8.0,6.0,2.0,2.0,0,2,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0033251,Z.Pascal,5,3,37.0,1,3.7268039165064755,0.7453607833012951,3,0.6,38.0,11.0,7.6,3.6666666666666665,3.0,0,1,1
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0034367,N.Hines,3,1,8.0,0,0.8168511367985011,0.27228371226616704,1,0.3333333333333333,3.0,4.0,1.0,4.0,1.0,0,1,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0036223,J.Taylor,4,2,6.0,0,-1.4158343663038717,-0.35395859157596793,1,0.25,-10.0,14.0,-2.5,7.0,1.0,0,2,0
2020,POST,2020_18_IND_BUF,18,2021-01-09,IND,BUF,00-0022942,P.Rivers,00-0036252,M.Pittman,10,5,90.0,0,-0.13767516638778934,-0.013767516638778935,4,0.4,66.0,54.0,6.6,10.8,3.0,3,3,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0033106,J.Goff,00-0030431,R.Woods,7,4,48.0,1,1.721755024685987,0.24596500352656955,4,0.5714285714285714,28.0,8.0,4.0,2.0,3.0,1,1,1
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0033106,J.Goff,00-0031806,M.Brown,1,1,9.0,0,0.688965344161261,0.688965344161261,1,1.0,3.0,6.0,3.0,6.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0033106,J.Goff,00-0033110,T.Higbee,3,1,4.0,0,-1.1410609956365083,-0.38035366521216946,1,0.3333333333333333,30.0,0.0,10.0,0.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0033106,J.Goff,00-0033908,C.Kupp,6,2,50.0,0,0.7792986861895741,0.12988311436492903,2,0.3333333333333333,124.0,4.0,20.666666666666668,2.0,1.0,1,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0033106,J.Goff,00-0036414,C.Akers,1,1,44.0,0,3.50968608446419,3.50968608446419,1,1.0,5.0,39.0,5.0,39.0,1.0,1,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0034899,J.Wolford,00-0030431,R.Woods,1,0,0.0,0,-0.51477984036319,-0.51477984036319,0,0.0,13.0,0.0,13.0,0.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0034899,J.Wolford,00-0033895,G.Everett,1,0,0.0,0,-1.4325284967199,-1.4325284967199,0,0.0,11.0,0.0,11.0,0.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0034899,J.Wolford,00-0033908,C.Kupp,3,2,28.0,0,1.8977088843239458,0.6325696281079819,2,0.6666666666666666,37.0,3.0,12.333333333333334,1.5,2.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,LA,SEA,00-0034899,J.Wolford,00-0036414,C.Akers,1,1,1.0,0,-0.823641245719045,-0.823641245719045,0,0.0,-1.0,2.0,-1.0,2.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,00-0032211,T.Lockett,4,2,43.0,0,1.493776188930499,0.37344404723262475,2,0.5,84.0,5.0,21.0,2.5,2.0,1,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,00-0033387,J.Hollister,5,0,0.0,0,-3.7901300119701746,-0.758026002394035,0,0.0,61.0,0.0,12.2,0.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,00-0033589,D.Moore,1,1,1.0,0,-0.608087200671434,-0.608087200671434,0,0.0,-4.0,5.0,-4.0,5.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,00-0033594,C.Carson,2,1,5.0,0,-2.2444441522975254,-1.1222220761487627,1,0.5,25.0,9.0,12.5,9.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,00-0034159,W.Dissly,2,1,1.0,0,-1.178845605812967,-0.5894228029064835,0,0.0,5.0,1.0,2.5,1.0,0.0,0,0,0
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,00-0035640,D.Metcalf,11,5,96.0,2,-5.029191884619659,-0.4571992622381508,4,0.36363636363636365,196.0,20.0,17.818181818181817,4.0,2.0,1,1,1
2020,POST,2020_18_LA_SEA,18,2021-01-09,SEA,LA,00-0029263,R.Wilson,00-0036247,F.Swain,1,1,28.0,0,2.85528818180319,2.85528818180319,1,1.0,28.0,0.0,28.0,0.0,1.0,1,0,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0027656,R.Gronkowski,1,0,0.0,0,-1.32604205960719,-1.32604205960719,0,0.0,5.0,0.0,5.0,0.0,0.0,0,1,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0027793,A.Brown,3,2,49.0,1,4.10490295770314,1.3683009859010467,2,0.6666666666666666,36.0,13.0,12.0,6.5,2.0,1,1,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0031273,C.Brate,6,4,80.0,0,6.734284463222142,1.122380743870357,4,0.6666666666666666,67.0,27.0,11.166666666666666,6.75,4.0,2,1,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0031408,M.Evans,10,6,119.0,0,8.996400826377794,0.8996400826377794,6,0.6,183.0,11.0,18.3,1.8333333333333333,6.0,2,0,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0033856,L.Fournette,4,4,39.0,0,3.0595711037167335,0.7648927759291834,4,1.0,-4.0,43.0,-1.0,10.75,2.0,1,0,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0033921,C.Godwin,12,5,79.0,1,2.3299871297032775,0.1941655941419398,5,0.4166666666666667,130.0,25.0,10.833333333333334,5.0,3.0,1,1,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0035298,S.Miller,1,1,15.0,0,2.31185710825957,2.31185710825957,1,1.0,15.0,0.0,15.0,0.0,1.0,0,0,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,TB,WAS,00-0019596,T.Brady,00-0036450,K.Vaughn,1,0,0.0,0,-0.502494870917872,-0.502494870917872,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,WAS,TB,00-0031800,T.Heinicke,00-0031260,L.Thomas,10,5,74.0,0,-1.976479950590126,-0.1976479950590126,3,0.3,107.0,29.0,10.7,5.8,3.0,2,3,0
