season,season_type,team,qb_id,qb_name,wr_id,wr_name,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,TB,00-0019596,T.Brady,00-0027656,R.Gronkowski,14,8,110.0,2,5.518204052163764,0.3941574322974117,8,0.5714285714285714,125.0,76.0,8.928571428571429,9.5,6.0,2,6,2
2020,POST,TB,00-0019596,T.Brady,00-0027793,A.Brown,12,8,81.0,2,3.000748856712286,0.25006240472602387,6,0.5,125.0,22.0,10.416666666666666,2.75,5.0,1,3,1
2020,POST,TB,00-0019596,T.Brady,00-0031273,C.Brate,19,14,175.0,1,10.622913139424494,0.5591006915486576,13,0.6842105263157895,173.0,60.0,9.105263157894736,4.285714285714286,9.0,2,2,1
2020,POST,TB,00-0019596,T.Brady,00-0031408,M.Evans,22,11,204.0,2,5.909129962790743,0.26859681649048833,11,0.5,423.0,33.0,19.227272727272727,3.0,10.0,4,3,2
2020,POST,TB,00-0019596,T.Brady,00-0032419,J.Haeg,1,0,0.0,0,-0.870834263565484,-0.870834263565484,0,0.0,2.0,0.0,2.0,0.0,0.0,0,1,0
2020,POST,TB,00-0019596,T.Brady,00-0033856,L.Fournette,21,18,148.0,1,10.676299993239807,0.5083952377733242,16,0.7619047619047619,3.0,143.0,0.14285714285714285,7.944444444444445,10.0,1,2,1
2020,POST,TB,00-0019596,T.Brady,00-0033921,C.Godwin,32,16,232.0,1,10.629411930143021,0.3321691228169694,14,0.4375,340.0,104.0,10.625,6.5,10.0,2,2,0
2020,POST,TB,00-0019596,T.Brady,00-0034613,T.Hudson,1,0,0.0,0,-0.495957957347855,-0.495957957347855,0,0.0,19.0,0.0,19.0,0.0,0.0,0,1,0
2020,POST,TB,00-0019596,T.Brady,00-0034816,R.Jones,2,0,0.0,0,-1.155860597267747,-0.5779302986338735,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2020,POST,TB,00-0019596,T.Brady,00-0035298,S.Miller,6,4,80.0,1,8.367740957038237,1.394623492839706,3,0.5,75.0,7.0,12.5,1.75,3.0,2,1,0
2020,POST,TB,00-0019596,T.Brady,00-0036427,T.Johnson,4,2,31.0,0,2.867400566639837,0.7168501416599592,2,0.5,57.0,1.0,14.25,0.5,2.0,0,0,0
2020,POST,TB,00-0019596,T.Brady,00-0036450,K.Vaughn,1,0,0.0,0,-0.502494870917872,-0.502494870917872,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2020,POST,NO,00-0020531,D.Brees,00-0027061,J.Cook,14,9,68.0,0,-11.535036011133348,-0.8239311436523821,5,0.35714285714285715,117.0,23.0,8.357142857142858,2.5555555555555554,2.0,0,1,0
