season,season_type,player_id,player_name,team,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,00-0024243,M.Lewis,GB,3,3,28.0,0,2.301126225269397,0.7670420750897989,3,1.0,12.0,16.0,4.0,5.333333333333333,1.0,0,0,0
2020,POST,00-0025580,M.Crosby,GB,1,0,0.0,0,-0.947,-0.947,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
2020,POST,00-0027061,J.Cook,NO,14,9,68.0,0,-11.535036011133348,-0.8239311436523821,5,0.35714285714285715,117.0,23.0,8.357142857142858,2.5555555555555554,2.0,0,1,0
2020,POST,00-0027656,R.Gronkowski,TB,14,8,110.0,2,5.518204052163764,0.3941574322974117,8,0.5714285714285714,125.0,76.0,8.928571428571429,9.5,6.0,2,6,2
2020,POST,00-0027685,E.Sanders,NO,12,8,51.0,0,2.063832162937612,0.17198601357813434,6,0.5,84.0,21.0,7.0,2.625,4.0,0,1,0
2020,POST,00-0027696,J.Graham,CHI,2,2,25.0,1,4.0147492753458245,2.0073746376729122,1,0.5,21.0,4.0,10.5,2.0,1.0,0,1,1
2020,POST,00-0027793,A.Brown,TB,12,8,81.0,2,3.000748856712286,0.25006240472602387,6,0.5,125.0,22.0,10.416666666666666,2.75,5.0,1,3,1
2020,POST,00-0027902,D.Bryant,BAL,2,0,0.0,0,-1.509868777124215,-0.7549343885621075,0,0.0,19.0,0.0,9.5,0.0,0.0,0,0,0
2020,POST,00-0029000,C.Beasley,BUF,18,14,145.0,0,4.291773087821258,0.2384318382122921,11,0.6111111111111112,112.0,62.0,6.222222222222222,4.428571428571429,6.0,1,0,0
2020,POST,00-0029608,T.Hilton,IND,5,2,32.0,0,-0.18306634214241474,-0.03661326842848295,2,0.4,81.0,9.0,16.2,4.5,1.0,1,0,0
2020,POST,00-0029701,R.Tannehill,TEN,1,1,-10.0,0,-1.11917399044614,-1.11917399044614,0,0.0,-10.0,0.0,-10.0,0.0,0.0,0,0,0
2020,POST,00-0030181,J.Doyle,IND,10,7,70.0,1,5.5949051170465465,0.5594905117046547,6,0.6,71.0,10.0,7.1,1.4285714285714286,4.0,1,2,0
2020,POST,00-0030216,J.Hill,NO,1,1,-3.0,0,-0.985904334462248,-0.985904334462248,0,0.0,-7.0,4.0,-7.0,4.0,0.0,0,0,0
2020,POST,00-0030431,R.Woods,LA,18,12,96.0,1,1.5578621683525802,0.08654789824181001,11,0.6111111111111112,84.0,23.0,4.666666666666667,1.9166666666666667,8.0,1,2,1
2020,POST,00-0030470,V.McDonald,PIT,2,0,0.0,0,-5.122314848995301,-2.5611574244976505,0,0.0,4.0,0.0,2.0,0.0,0.0,0,1,0
2020,POST,00-0030496,L.Bell,KC,3,0,0.0,0,-2.674560021206868,-0.891520007068956,0,0.0,22.0,0.0,7.333333333333333,0.0,0.0,0,2,0
2020,POST,00-0030506,T.Kelce,KC,40,31,360.0,3,19.445123119541925,0.4861280779885481,28,0.7,301.0,131.0,7.525,4.225806451612903,19.0,4,9,3
2020,POST,00-0030513,L.Murray,NO,2,2,11.0,1,1.490189486416061,0.7450947432080305,1,0.5,-11.0,22.0,-5.5,11.0,1.0,0,1,1
2020,POST,00-0030663,W.Snead,BAL,7,7,34.0,0,0.17377205105731208,0.024824578722473154,4,0.5714285714285714,21.0,13.0,3.0,1.8571428571428572,0.0,0,0,0
2020,POST,00-0030710,T.Burton,IND,3,3,34.0,0,4.288265421491815,1.4294218071639382,2,0.6666666666666666,29.0,5.0,9.666666666666666,1.6666666666666667,2.0,0,1,0
2020,POST,00-0031051,J.Brown,BUF,19,10,86.0,0,-10.491448554924435,-0.5521815028907597,6,0.3157894736842105,209.0,15.0,11.0,1.5,4.0,1,3,0
2020,POST,00-0031260,L.Thomas,WAS,10,5,74.0,0,-1.976479950590126,-0.1976479950590126,3,0.3,107.0,29.0,10.7,5.8,3.0,2,3,0
2020,POST,00-0031273,C.Brate,TB,19,14,175.0,1,10.622913139424494,0.5591006915486576,13,0.6842105263157895,173.0,60.0,9.105263157894736,4.285714285714286,9.0,2,2,1
2020,POST,00-0031325,S.Watkins,KC,1,1,13.0,0,0.956382189644501,0.956382189644501,1,1.0,12.0,1.0,12.0,1.0,1.0,0,0,0
2020,POST,00-0031381,D.Adams,GB,25,18,133.0,2,8.6763023218988,0.347052092875952,15,0.6,115.0,72.0,4.6,4.0,9.0,1,9,2
2020,POST,00-0031382,J.Landry,CLE,18,12,112.0,2,0.3225669787096559,0.017920387706091993,6,0.3333333333333333,76.0,70.0,4.222222222222222,5.833333333333333,6.0,1,5,1
2020,POST,00-0031387,E.Ebron,PIT,11,7,62.0,1,-0.3903320249228335,-0.035484729538439404,7,0.6363636363636364,49.0,36.0,4.454545454545454,5.142857142857143,5.0,0,3,1
2020,POST,00-0031408,M.Evans,TB,22,11,204.0,2,5.909129962790743,0.26859681649048833,11,0.5,423.0,33.0,19.227272727272727,3.0,10.0,4,3,2
2020,POST,00-0031428,A.Robinson,CHI,7,6,55.0,0,2.5652075358666524,0.3664582194095218,4,0.5714285714285714,53.0,13.0,7.571428571428571,2.1666666666666665,2.0,1,0,0
2020,POST,00-0031588,S.Diggs,BUF,32,20,311.0,2,18.249847226560117,0.5703077258300037,19,0.59375,471.0,75.0,14.71875,3.75,18.0,5,4,1
